,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:54:49.834940032,-6.302493896500001,-1.0921413803333333,-7.5069392395,-0.0287373557446153,0.0184663110233076,-0.0407876126115384,-0.0002677444964938,-0.0003119930267615,-0.0002091109188461,52.61919029,4.731828104,0.4923287025,0.1423291428,224.882431,4.806654579,3.0,8.518248337846154,-11.549188614615389,32.04167380692308,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:50.084940032,-6.302171489923078,-1.0942130338461538,-7.499853973384616,-0.0319603934883333,0.0117338573750833,-0.0364797551933333,0.0009017856597333,-0.0008702223033583,6.537627873333335e-05,,,,,,,,8.503929773916669,-11.573775768333334,32.07395489916667,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:50.334940032,-6.298402404750001,-1.095634117,-7.499629440416666,-0.0305078476673846,0.013587383038,-0.0340751439792307,-2.6813242540769257e-05,0.0004791192745392,0.0002031875728853,,,,,,,,8.406745323769231,-11.521151982307694,32.28997656000001,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:50.584940032,-6.3047046839230765,-1.0990951890769232,-7.499024928076922,-0.0309797179697916,0.0082249188977333,-0.0355231019841666,0.0031639548056416,-0.0031938937803824,-0.0017671468181999,,,,,,,,8.337006886916667,-11.55850633,32.27775637166666,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:50.834940032,-6.3146062086666666,-1.1056383133333332,-7.490760383666668,-0.0328967501115384,0.0056800864861538,-0.03880149337,0.0022787900525384,-0.0032817295644384,-0.0023563113868646,52.61918681,4.731822404,0.3428374119,0.2668288512,224.882431,5.417963478,3.0,8.235759441615384,-11.412230124615384,32.320995624615385,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:51.084940032,-6.311832169692308,-1.111588439846154,-7.488880638692308,-0.0268516324455833,0.0074326881763666,-0.0364831173408333,0.002308242481405,-0.0033708956713619,-0.0017277638737966,,,,,,,,8.1595109305,-11.352840503333333,32.23476854916667,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:51.334940032,-6.313109321749999,-1.12236602775,-7.48653167725,-0.0288516913015384,0.0027078062123538,-0.0375096635176923,0.0015079153504846,-0.0014550204819307,-0.001622010488053,,,,,,,,7.702071556769232,-11.260217740769232,32.22028086769231,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:51.584940032,-6.313628434538462,-1.1220090778461538,-7.481534376846154,-0.0290172462191666,0.0048483102211666,-0.0344196836658333,-0.0002176286798833,0.0006188188951583,0.00030496505495,,,,,,,,6.86517206825,-11.200691461666668,32.32264137166667,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:51.834940032,-6.3230636214999985,-1.1156425095,-7.4866688919166675,-0.0362644764538461,0.0018223915824923,-0.0369630388115384,-0.0014397259209315,0.0021025075828,0.0020626431886084,52.61918925,4.731826395,0.6221573325,0.1197948275,224.882431,5.988879949,3.0,6.050608708307692,-12.111545123076922,32.06771880000001,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:52.084940032,-6.316011939384615,-1.1088710137692308,-7.486854083769232,-0.03548270747,0.0014777253934999,-0.0335606302313333,-0.00112928855267,0.0015888429091449,0.001687986009725,,,,,,,,5.821963628333333,-13.82409850833333,31.937044143333335,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:52.334940032,-6.309192466749999,-1.10324329375,-7.490698013333333,-0.0287440125761538,0.0019085480559999,-0.0392481306876923,-0.0013437717526692,0.0014168818552737,0.0019288293462307,,,,,,,,6.983193030692309,-15.013101797692308,30.374558668461535,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:52.584940032,-6.306639122615384,-1.099452139,-7.500659989538462,-0.0291862869728461,-0.0016208931574615,-0.0395797577730769,-0.0005999958062392,0.0004576313703461,0.0004753120637393,,,,,,,,8.719245323846154,-15.104975994615383,28.959300703076924,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:52.834940032,-6.303392028916668,-1.0939875411666666,-7.495912170416665,-0.02909667089525,0.0037650282499166,-0.0405766555675,-0.0001568966423483,-0.0016290538673333,0.0012409737779416,52.61918944,4.731826719,0.6812841576,0.0,224.882431,6.180657986,3.0,9.900555292416664,-13.906465053333331,27.989467621666662,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:53.084940032,-6.305994309615386,-1.096596538923077,-7.494960303769232,-0.027353589672,0.0011416744797692,-0.0376902975015384,-0.0001009158015769,0.0009084337462692,-0.0006034960164615,,,,,,,,10.19970703307692,-12.429180070769227,28.13046206,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:53.334940032,-6.306777296846153,-1.0967231983846153,-7.502237478461539,-0.0263702116904166,-0.0033249217269416,-0.0419703881433333,0.0002602492824416,-0.0004658725617424,4.5557176491666575e-05,,,,,,,,10.0062535605,-11.5195994375,28.475636164999997,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:53.584940032,-6.306261062749999,-1.0939750671666668,-7.493691787666666,-0.0264314837638461,0.0004067188278615,-0.0434470612276923,0.0006387623815307,-0.0011338886195846,-0.0007961695441169,,,,,,,,9.718849768923077,-11.147267122307692,28.951881113846152,,False,False,False,False,False,False,False,False,False,False,False,False
